# Epilogue route continuation: Yuto's forgotten school life
<Character=サツキ>怒り4	<Character=サツキ>愤怒4
「私がオートマタを<ruby=しえき>使役</ruby>し<ruby=きこういん>機巧院</ruby>と戦っていた……\nおぼろげだがそんな光景が思い浮かぶのだ。」	“我似乎曾<ruby=しえき>驱使</ruby>自动人偶与<ruby=きこういん>机巧院</ruby>战斗……\n虽然模糊，但脑中总会浮现那样的光景。”
「それが夢なのか現実なのか<ruby=さだ>定</ruby>かではないが、\nその光景が頭に焼き付いて離れない。\nあれは一体何だったのだろうか……。」	“那究竟是梦还是现实，我说不准，\n但那幅画面深深烙在脑海里，挥之不去。\n那到底是什么<ruby=さだ>……”</ruby>
（これは……完全に\n記憶が無くなっているわけじゃないのか。）	（这就是说……她的记忆并没有完全消失？\n）
（どうやら洗脳状態でも印象的な出来事は\n記憶から消えず残り続けるようだ。）	（看来即使处于洗脑状态，\n印象深刻的事情也会一直留在记忆里。）
「そして、機巧院と共に居たオートマタ……\n何故だかユートに似ていた。\n<ruby=すがたかたち>姿形</ruby>はまるで違うのにそれがユートだと感じてしまうのだ。」	“还有，和机巧院在一起的那台自动人偶……\n不知为何很像悠斗。\n明明<ruby=すがたかたち>外貌</ruby>完全不同，我却觉得那就是悠斗。”
「私はそのオートマタを<ruby=しつよう>執拗</ruby>に傷つけてしまった。\n私のした事に対する胸の痛み、罪悪感は今でも消えない。」	“我曾<ruby=しつよう>一再</ruby>伤害那台自动人偶。\n即使现在，胸口的痛楚和愧疚也无法消失。”
「私はまた……<ruby=あやま>過</ruby>ちを犯してしまったのか。」	“我又……犯下<ruby=あやま>过错</ruby>了吗？”
「……ユリ姉。」	“……百合姐。”
「大丈夫。ユリ姉は何も悪くねぇ。」	“没事。百合姐没有错。”
「もしユリ姉が間違ってたら、\n俺が間違いを正してやる。\n俺は何があってもユリ姉の味方だ。」	“如果百合姐真的做错了，\n我会帮你纠正。\n无论发生什么，我都会站在百合姐这边。”
「ふっ。\nどうやら少し弱気になっていたようだ。\n私も人の事は言えないな。」	“呵。\n看来是我有些软弱了。\n我也没资格说别人。”
「さて。さっさと支度をしろ。\n学校へ行くのだろう？」	“好了，快去准备。\n你不是要上学吗？”
「ああ。そうだな。」	“嗯，说得对。”
「……随分久しぶりの登校だな。」	“……真是久违的校园生活。”
（自分の身体で学校に行くのは\n本当にいつ以来だろうか。）	（我用自己的身体去上学，\n究竟是多久以前的事了？）
（フェイリクスに身体を奪われてから\n俺の日常は一変した。）	（自从身体被费利克斯夺走后，\n我的日常彻底改变了。）
（信頼していたユリ姉や学園の生徒達が\n洗脳され、何かも失った俺の側には\n誰一人として味方は居なくなった。）	（我信任的百合姐和学校同学都被洗脑，\n在失去一切的我身边，\n已经没有一个同伴。）
（…………ノヴァ以外は。）	（…………除了诺瓦。）
（身体どころかフェイリクスに全てを奪われ\n絶望の<ruby=ふち>淵</ruby>に立たされていた俺に\nノヴァだけが救いの手を差し伸べてくれた。）	（费利克斯夺走的不只是我的身体，\n当我被逼到绝望的<ruby=ふち>深渊</ruby>时，\n只有诺瓦向我伸出了援手。）
（そう……世界のすべてが敵になったとしても\nノヴァだけは俺の味方で居てくれたんだ。）	（没错……即使全世界都与我为敌，\n诺瓦也始终站在我这边。）
（何で今お前は俺の側に居ないんだ。\nせっかく元の身体に戻れたっていうのに。\nようやく俺達の日常が帰って来たっていうのに。）	（为什么你现在却不在我身边？\n好不容易我才回到原本的身体，\n好不容易我们的日常才回来。）
（………どうして、\n俺の事を忘れちまうんだよ。）	（……为什么，\n你偏偏把我忘了啊。）
「ナンダナンダ？\n<ruby=しんきくさ>辛気臭</ruby>い顔シテンナー。」	“怎么啦怎么啦？\n干嘛摆出一副<ruby=しんきくさ>闷闷不乐</ruby>的脸？”
「おや、悩み事かね？少年。」	“哦？遇到烦恼了吗，少年？”
「………サツキ。」	“………皋月。”
「と、誰だっけお前？」	“还有，你是谁来着？”
「フーゲツはフーゲツだ！\n覚えてネーノカヨ！」	“风月就是风月！\n你不记得啦！”
「元気が無いようだけど、\nどうかしたのかな？　ユートくん。」	“你看起来没什么精神，\n怎么了，悠斗？”
「いや……、\nちょっとノヴァと上手く行ってなくてな。」	“没什么……\n只是和诺瓦相处得不太顺利。”
「ソウカ。次はイイ出会いアルサ。」	“这样啊。下次一定会遇到好对象的。”
「何勝手に終わらせてんだ。\nまだ終わってねーよ。」	“你擅自替我收尾干什么。\n事情还没结束呢。”
「そういえば今日、\nノヴァ見てないんだよね。\nいつも一緒に登校してるんだけど。」	“说起来，今天，\n我没见到诺瓦。\n我们平时都会一起上学的。”
「ノヴァのヤツ\n……やっぱ学校には来ないか。」	“诺瓦那家伙……\n果然不会来学校吗。”
「ノヴァと喧嘩した？」	“你和诺瓦吵架了？”
「喧嘩……まぁ、結果的には<ruby=なかたが>仲違</ruby>いになったな。」	“吵架……嗯，结果算是<ruby=なかたが>闹掰</ruby>了吧。”
（まさかノヴァが\n俺をガチで殺そうとすると思わなかったが。）	（我没想到诺瓦会真的\n想杀了我。）
「へー。ノヴァと喧嘩するなんて羨ましいなぁ。」	“哦——居然能和诺瓦吵架，真让人羡慕。”
「は？羨ましい……？」	“啊？羡慕……？”
「ノヴァって<ruby=ひょうひょう>飄々</ruby>としていて誰に対しても\n<ruby=はっぽうびじん>八方美人</ruby>というかあんまり本音を見せないんだよね。\nもちろん私に対してもね。」	“诺瓦总是一副<ruby=ひょうひょう>飘然</ruby>的样子，\n对谁都表现得<ruby=はっぽうびじん>八面玲珑</ruby>，很少袒露真心。\n当然，对我也是一样。”
「だから、ノヴァとはずっと仲良しで\n今まで口論とか喧嘩とかした事が\nなかったんだ。」	“所以我一直和诺瓦相处融洽，\n从来没有和她争吵过，\n更别说吵架了。”
「仲良しなのは良い事じゃないのか？」	“关系融洽不是好事吗？”
「そうだね。\nきっとその方が安全で安心で楽しいと思う。」	“是啊。\n那样肯定更安全、更安心，也更开心。”
「でも、私が本当に欲しいのは『<ruby=ほんもの>本物</ruby>』なんだ。」	“可是，我真正想要的是‘<ruby=ほんもの>真实</ruby>’。”
「………『<ruby=ほんもの>本物</ruby>』？」	“……‘<ruby=ほんもの>真实</ruby>’？”
「<ruby=うわべ>上辺</ruby>でも馴れ合いでも無い。\n本音で、本気でぶつかり合える関係性。」	“不是<ruby=うわべ>表面</ruby>上的客套，\n而是能坦诚相对、认真碰撞的关系。”
「喜びも怒りも痛みも苦しみも悲しみも\n全部ひっくるめて分かち合える。\nそれが私が求める『<ruby=ほんもの>本物</ruby>』なんだ。」	“喜悦、愤怒、痛苦、煎熬、悲伤，\n把这一切都分享给彼此。\n这就是我所追求的‘<ruby=ほんもの>真实</ruby>’。”
「私はノヴァの『<ruby=ほんもの>本物</ruby>』になれない。」	“我无法成为诺瓦的‘<ruby=ほんもの>真实</ruby>’。”
「でも、ユートくん。君なら、君になら\nノヴァの『<ruby=ほんもの>本物</ruby>』になれるかもしれない。」	“但是，悠斗。也许只有你，\n才有可能成为诺瓦的‘<ruby=ほんもの>真实</ruby>’。”
「……俺がノヴァの『<ruby=ほんもの>本物</ruby>』に。」	“……我成为诺瓦的‘<ruby=ほんもの>真实</ruby>’。”
「君にはその資格がある。\nあとは君自身がどうしたいか、だよ。」	“你有这个资格。\n剩下的，就看你自己想怎么做了。”
「俺は………。」	“我……”
（俺はどうしたいんだ……？）	（我究竟想怎么做……？）
（影山の学園アイドル攻略作戦を俺は断った。\nそれはノヴァが記憶を失い、\n俺の知ってるノヴァじゃなくなったからだ。）	（我拒绝了影山的校园偶像攻略作战。\n因为诺瓦失去了记忆，\n已经不再是我认识的那个诺瓦。）
（俺が好きなのは\n<ruby=てんしんらんまん>天真爛漫</ruby>で<ruby=デュエリスト>決闘者</ruby>で金が大好きな\n<ruby=こあくまけいはいしんしゃ>小悪魔系配信者</ruby>のノヴァなんだ。）	（我喜欢的是那个\n<ruby=てんしんらんまん>天真烂漫</ruby>、身为<ruby=デュエリスト>决斗者</ruby>、最爱金钱的\n<ruby=こあくまけいはいしんしゃ>小恶魔系主播</ruby>诺瓦。）
（……心無い機械となったオートマタじゃない。）	（……不是这台失去心的自动人偶。）
（だけど………ノヴァは。）	（但是……诺瓦她。）
（俺が記憶を失って、ノヴァとの記憶を忘れても\nそれでも側に居てくれた。\nそれでも俺を好きだと言ってくれた。）	（即使我失去记忆，忘了和诺瓦相处的时光，\n她依然陪在我身边。\n依然说喜欢我。）
（それなのに俺はノヴァが記憶を失った途端、\n『こんなのノヴァじゃない』と否定した。）	（可诺瓦一失去记忆，\n我却立刻否定她，说‘这样的诺瓦不是诺瓦’。）
（………何やってるんだ。俺。）	（……我到底在做什么。）
「ナンダナンダ？ダンマリダゾー？」	“怎么啦怎么啦？怎么突然不说话啦？”
「うんうん。青少年よ。\nじっくり悩みたまえ。\n君には立ち止まる時間が必要だ。」	“嗯嗯，年轻人啊。\n慢慢烦恼吧。\n你需要一点停下来思考的时间。”
